name,number,old_price,sale_price,url
Beaded Camisole Top,47468,$17.99,$7.99,http://www.hm.com/us/product/47468?article=47468-E
V-neck Top,69690,$17.99,$7.99,http://www.hm.com/us/product/69690?article=69690-A
V-neck Top,69690,$17.99,$7.99,http://www.hm.com/us/product/69690?article=69690-B
Draped Top,61712,$19.99,$9.99,http://www.hm.com/us/product/61712?article=61712-B
Long-sleeved Jersey Top,64062,$24.99,$19.99,http://www.hm.com/us/product/64062?article=64062-A
Long-sleeved Top,56522,$24.99,$14.99,http://www.hm.com/us/product/56522?article=56522-E
Long-sleeved Top,56522,$24.99,$12.99,http://www.hm.com/us/product/56522?article=56522-C
Long-sleeved Top,56522,$24.99,$14.99,http://www.hm.com/us/product/56522?article=56522-F
Jersey Camisole Top,46245,$4.99,$3.99,http://www.hm.com/us/product/46245?article=46245-D
One-shoulder Top,49881,$12.99,$5.99,http://www.hm.com/us/product/49881?article=49881-A
T-shirt with Motif,60675,$12.99,$9.99,http://www.hm.com/us/product/60675?article=60675-P
Slub Jersey Top,54630,$12.99,$9.99,http://www.hm.com/us/product/54630?article=54630-I
Jersey Camisole Top with Lace,69540,$17.99,$12.99,http://www.hm.com/us/product/69540?article=69540-D
Polo Shirt,48777,$12.99,$9.99,http://www.hm.com/us/product/48777?article=48777-B
Short Lace Top,63545,$29.99,$14.99,http://www.hm.com/us/product/63545?article=63545-B
Airy Jersey Top,63206,$17.99,$12.99,http://www.hm.com/us/product/63206?article=63206-B
Polo Shirt,48777,$12.99,$9.99,http://www.hm.com/us/product/48777?article=48777-A
Glittery Bustier,59539,$24.99,$12.99,http://www.hm.com/us/product/59539?article=59539-B
Pleated Top,58708,$24.99,$12.99,http://www.hm.com/us/product/58708?article=58708-B
Pleated Top,59588,$34.99,$19.99,http://www.hm.com/us/product/59588?article=59588-A
Crushed-velvet Camisole Top,63178,$24.99,$17.99,http://www.hm.com/us/product/63178?article=63178-A
Lace Camisole Top,58828,$24.99,$12.99,http://www.hm.com/us/product/58828?article=58828-A
Mock-turtleneck Top,55410,$17.99,$12.99,http://www.hm.com/us/product/55410?article=55410-C
Ribbed Top,64983,$17.99,$9.99,http://www.hm.com/us/product/64983?article=64983-A
Lyocell Top,65225,$24.99,$19.99,http://www.hm.com/us/product/65225?article=65225-A
Lyocell Top,65437,$29.99,$17.99,http://www.hm.com/us/product/65437?article=65437-A
Short Top,60761,$24.99,$14.99,http://www.hm.com/us/product/60761?article=60761-A
Long-sleeved Jersey Top,59142,$29.99,$14.99,http://www.hm.com/us/product/59142?article=59142-A
Crushed-velvet Camisole Top,69676,$34.99,$24.99,http://www.hm.com/us/product/69676?article=69676-A
Satin Peplum Top,56723,$34.99,$24.99,http://www.hm.com/us/product/56723?article=56723-A
Jersey Top,60133,$12.99,$5,http://www.hm.com/us/product/60133?article=60133-B
Jersey Top,68934,$12.99,$5.99,http://www.hm.com/us/product/68934?article=68934-C
Jersey Top,44402,$14.99,$5.99,http://www.hm.com/us/product/44402?article=44402-C
Jersey Top,83742,$5.99,$3.99,http://www.hm.com/us/product/83742?article=83742-X
Jersey Top,68934,$12.99,$5.99,http://www.hm.com/us/product/68934?article=68934-A
T-shirt with Motif,60675,$12.99,$7.99,http://www.hm.com/us/product/60675?article=60675-U
Jersey Top,60133,$12.99,$5,http://www.hm.com/us/product/60133?article=60133-E
Short T-shirt,66337,$9.99,$5.99,http://www.hm.com/us/product/66337?article=66337-C
Jersey Top,60133,$12.99,$5,http://www.hm.com/us/product/60133?article=60133-F
Tank Top with Lacing,71574,$17.99,$9.99,http://www.hm.com/us/product/71574?article=71574-A
Top with Lace Yoke,68429,$9.99,$5.99,http://www.hm.com/us/product/68429?article=68429-B
Long-sleeved Jersey Top,65001,$12.99,$5.99,http://www.hm.com/us/product/65001?article=65001-A
T-shirt with Motif,60675,$12.99,$7.99,http://www.hm.com/us/product/60675?article=60675-T
Short-sleeved Top,65274,$9.99,$6.99,http://www.hm.com/us/product/65274?article=65274-B
Short-sleeved Top,65274,$9.99,$6.99,http://www.hm.com/us/product/65274?article=65274-A
Linen Scoop-neck Top,65666,$17.99,$9.99,http://www.hm.com/us/product/65666?article=65666-E
Crêped Camisole Top,65300,$17.99,$7,http://www.hm.com/us/product/65300?article=65300-C
Short Jersey Tank Top,69443,$4.99,$2.99,http://www.hm.com/us/product/69443?article=69443-C
Slub Jersey Top,54630,$12.99,$5.99,http://www.hm.com/us/product/54630?article=54630-F
Crinkled Off-the-shoulder Top,67863,$19.99,$9.99,http://www.hm.com/us/product/67863?article=67863-B
Lyocell Jersey Tank Top,70462,$12.99,$6.99,http://www.hm.com/us/product/70462?article=70462-B
Lyocell Top,67584,$14.99,$7.99,http://www.hm.com/us/product/67584?article=67584-E
Ribbed Tank Top,69750,$6.99,$4.99,http://www.hm.com/us/product/69750?article=69750-C
V-neck Jersey Top,26321,$5.99,$3.99,http://www.hm.com/us/product/26321?article=26321-M
Long-sleeved Top,62235,$12.99,$5.99,http://www.hm.com/us/product/62235?article=62235-F
Short T-shirt,66337,$9.99,$5.99,http://www.hm.com/us/product/66337?article=66337-D
Long T-shirt,91281,$9.99,$5.99,http://www.hm.com/us/product/91281?article=91281-B
Top with Woven Front Section,60953,$14.99,$7.99,http://www.hm.com/us/product/60953?article=60953-C
Top with Lace Details,67739,$14.99,$7,http://www.hm.com/us/product/67739?article=67739-A
Wide-cut Top,69910,$17.99,$7.99,http://www.hm.com/us/product/69910?article=69910-A
Off-the-shoulder Top,58147,$12.99,$7.99,http://www.hm.com/us/product/58147?article=58147-G
Long-sleeved Jersey Top,38141,$12.99,$5.99,http://www.hm.com/us/product/38141?article=38141-X
Long-sleeved Top,61473,$14.99,$6.99,http://www.hm.com/us/product/61473?article=61473-A
Top with Lace,68451,$24.99,$12.99,http://www.hm.com/us/product/68451?article=68451-A
Jersey Crêpe Top,44914,$17.99,$9.99,http://www.hm.com/us/product/44914?article=44914-K
V-neck Jersey Top,89119,$14.99,$5.99,http://www.hm.com/us/product/89119?article=89119-P
Linen Scoop-neck Top,65666,$17.99,$9.99,http://www.hm.com/us/product/65666?article=65666-B
Wide T-shirt with Chest Pocket,68936,$24.99,$12.99,http://www.hm.com/us/product/68936?article=68936-B
Nepped T-shirt,67360,$17.99,$7.99,http://www.hm.com/us/product/67360?article=67360-C
Printed Jersey Bodysuit,66557,$14.99,$9.99,http://www.hm.com/us/product/66557?article=66557-A
T-shirt with Printed Design,63019,$12.99,$5.99,http://www.hm.com/us/product/63019?article=63019-A
V-neck Jersey Top,63058,$12.99,$9.99,http://www.hm.com/us/product/63058?article=63058-C
Short-sleeved Top,65274,$9.99,$6.99,http://www.hm.com/us/product/65274?article=65274-F
Slub Jersey Top,54630,$12.99,$5.99,http://www.hm.com/us/product/54630?article=54630-E
Jersey Top,38006,$9.99,$6.99,http://www.hm.com/us/product/38006?article=38006-C
Long-sleeved Top,62235,$12.99,$5.99,http://www.hm.com/us/product/62235?article=62235-B
Nepped T-shirt,67360,$17.99,$7.99,http://www.hm.com/us/product/67360?article=67360-B
T-shirt with Motif,66549,$12.99,$7.99,http://www.hm.com/us/product/66549?article=66549-A
Lace Top,62613,$29.99,$17.99,http://www.hm.com/us/product/62613?article=62613-E
Blouce with Lace Yoke,68183,$29.99,$14.99,http://www.hm.com/us/product/68183?article=68183-C
Cotton-blend T-shirt,62593,$9.99,$5.99,http://www.hm.com/us/product/62593?article=62593-D
Polo Shirt,43558,$12.99,$5.99,http://www.hm.com/us/product/43558?article=43558-G
T-shirt with Printed Design,63019,$12.99,$5.99,http://www.hm.com/us/product/63019?article=63019-Q
Wide-cut Top,69910,$17.99,$7.99,http://www.hm.com/us/product/69910?article=69910-B
Short-sleeved Top,65274,$9.99,$6.99,http://www.hm.com/us/product/65274?article=65274-D
T-shirt with Printed Design,63019,$12.99,$5.99,http://www.hm.com/us/product/63019?article=63019-K
Top with Printed Design,70360,$12.99,$5.99,http://www.hm.com/us/product/70360?article=70360-A
One-shoulder Top,69256,$12.99,$7.99,http://www.hm.com/us/product/69256?article=69256-C
Ribbed Sweater,59865,$12.99,$9.99,http://www.hm.com/us/product/59865?article=59865-D
Crêped Camisole Top,65300,$17.99,$7,http://www.hm.com/us/product/65300?article=65300-A
Jersey Top,68161,$12.99,$5.99,http://www.hm.com/us/product/68161?article=68161-A
Striped Jersey Top,64644,$14.99,$9.99,http://www.hm.com/us/product/64644?article=64644-C
T-shirt with Printed Design,70618,$17.99,$9.99,http://www.hm.com/us/product/70618?article=70618-C
Fine-knit Top,41533,$17.99,$9.99,http://www.hm.com/us/product/41533?article=41533-G
Lace-trimmed Cotton Tank Top,61829,$6.99,$4.99,http://www.hm.com/us/product/61829?article=61829-D
Short Top,65897,$12.99,$7.99,http://www.hm.com/us/product/65897?article=65897-B
Top with Lace Detail,61841,$12.99,$7.99,http://www.hm.com/us/product/61841?article=61841-A
Long-sleeved Top,62235,$12.99,$5.99,http://www.hm.com/us/product/62235?article=62235-G
Metallic Bodysuit,65632,$17.99,$9.99,http://www.hm.com/us/product/65632?article=65632-A
Crêped Camisole Top,65300,$17.99,$7,http://www.hm.com/us/product/65300?article=65300-D
Ribbed Tank Top,69750,$6.99,$4.99,http://www.hm.com/us/product/69750?article=69750-B
Top with Lace Details,67739,$14.99,$7,http://www.hm.com/us/product/67739?article=67739-D
V-neck Jersey Top,65256,$14.99,$9.99,http://www.hm.com/us/product/65256?article=65256-B
T-shirt with Printed Design,65389,$14.99,$9.99,http://www.hm.com/us/product/65389?article=65389-C
Pleated Top,67571,$17.99,$9.99,http://www.hm.com/us/product/67571?article=67571-B
Short Top,66133,$9.99,$5.99,http://www.hm.com/us/product/66133?article=66133-A
Jersey Camisole Top,46245,$4.99,$2.99,http://www.hm.com/us/product/46245?article=46245-H
Draped Top,67801,$17.99,$9.99,http://www.hm.com/us/product/67801?article=67801-B
Wide-cut Top,69910,$17.99,$7.99,http://www.hm.com/us/product/69910?article=69910-C
Long Linen-blend T-shirt,43335,$17.99,$9.99,http://www.hm.com/us/product/43335?article=43335-D
T-shirt with Motif,64623,$17.99,$9.99,http://www.hm.com/us/product/64623?article=64623-H
Long-sleeved Jersey Top,56535,$12.99,$7.99,http://www.hm.com/us/product/56535?article=56535-A
Ribbed Jersey Top,70480,$12.99,$5.99,http://www.hm.com/us/product/70480?article=70480-A
T-shirt with Motif,60675,$12.99,$7.99,http://www.hm.com/us/product/60675?article=60675-Z
V-neck Jersey Top,89119,$14.99,$9.99,http://www.hm.com/us/product/89119?article=89119-M
Pleated Top,67571,$17.99,$9.99,http://www.hm.com/us/product/67571?article=67571-A
Ribbed Jersey Top,70480,$12.99,$5.99,http://www.hm.com/us/product/70480?article=70480-C
T-shirt with Motif,64623,$17.99,$12.99,http://www.hm.com/us/product/64623?article=64623-C
Short Top with Elastic,63850,$14.99,$9.99,http://www.hm.com/us/product/63850?article=63850-B
Lyocell Jersey Tank Top,70462,$12.99,$6.99,http://www.hm.com/us/product/70462?article=70462-C
Short-sleeved Top,65274,$9.99,$6.99,http://www.hm.com/us/product/65274?article=65274-E
Short Top,70988,$14.99,$9.99,http://www.hm.com/us/product/70988?article=70988-A
Jersey Top,49630,$14.99,$9.99,http://www.hm.com/us/product/49630?article=49630-B
Mock-turtleneck Top,58925,$17.99,$9.99,http://www.hm.com/us/product/58925?article=58925-A
Cotton T-shirt,64432,$12.99,$6.99,http://www.hm.com/us/product/64432?article=64432-E
Slub Jersey Top,54630,$12.99,$5.99,http://www.hm.com/us/product/54630?article=54630-H
Long-sleeved Bodysuit,60584,$14.99,$9.99,http://www.hm.com/us/product/60584?article=60584-A
Fine-knit Top,59991,$17.99,$9.99,http://www.hm.com/us/product/59991?article=59991-A
Top with Printed Design,70360,$12.99,$5.99,http://www.hm.com/us/product/70360?article=70360-B
Ribbed Top,56852,$17.99,$9.99,http://www.hm.com/us/product/56852?article=56852-A
Camisole Top with Mesh Detail,62288,$17.99,$12.99,http://www.hm.com/us/product/62288?article=62288-A
Embroidered Mesh Top,69666,$17.99,$9.99,http://www.hm.com/us/product/69666?article=69666-B
Fine-knit Top,41533,$17.99,$9.99,http://www.hm.com/us/product/41533?article=41533-E
Long-sleeved Top,62235,$12.99,$5.99,http://www.hm.com/us/product/62235?article=62235-A
Long-sleeved Linen Top,64869,$24.99,$12.99,http://www.hm.com/us/product/64869?article=64869-D
Lace Top,65850,$17.99,$9.99,http://www.hm.com/us/product/65850?article=65850-C
Ruffled Top,67573,$17.99,$9.99,http://www.hm.com/us/product/67573?article=67573-F
Glittery Bandeau Top,70285,$12.99,$7.99,http://www.hm.com/us/product/70285?article=70285-A
Slub Jersey Top,43522,$17.99,$7.99,http://www.hm.com/us/product/43522?article=43522-E
Wide-cut Camisole Top,68459,$14.99,$9.99,http://www.hm.com/us/product/68459?article=68459-E
Jersey Top,64735,$14.99,$9.99,http://www.hm.com/us/product/64735?article=64735-A
Jersey T-shirt,62231,$12.99,$5.99,http://www.hm.com/us/product/62231?article=62231-A
Long-sleeved Top,61473,$14.99,$6.99,http://www.hm.com/us/product/61473?article=61473-B
Jersey Top,38235,$9.99,$6.99,http://www.hm.com/us/product/38235?article=38235-A
V-neck Top,56722,$17.99,$9.99,http://www.hm.com/us/product/56722?article=56722-B
Ribbed Camisole Top,68421,$24.99,$12.99,http://www.hm.com/us/product/68421?article=68421-F
Cotton Jersey T-shirt,63610,$12.99,$7.99,http://www.hm.com/us/product/63610?article=63610-E
Crêped Top,60024,$14.99,$9.99,http://www.hm.com/us/product/60024?article=60024-A
V-neck Top,87752,$12.99,$6.99,http://www.hm.com/us/product/87752?article=87752-X
Crêped Camisole Top,65300,$17.99,$7,http://www.hm.com/us/product/65300?article=65300-B
Flounced Crop Top,59231,$24.99,$14.99,http://www.hm.com/us/product/59231?article=59231-A
Camisole Top with Knot,68093,$14.99,$9.99,http://www.hm.com/us/product/68093?article=68093-B
Fitted Sweater,63533,$29.99,$9.99,http://www.hm.com/us/product/63533?article=63533-E
V-neck Sweater,58455,$14.99,$7.99,http://www.hm.com/us/product/58455?article=58455-C
Long-sleeved Linen Top,64869,$24.99,$12.99,http://www.hm.com/us/product/64869?article=64869-A
Cotton T-shirt,64432,$12.99,$6.99,http://www.hm.com/us/product/64432?article=64432-F
Short Jersey Top,69128,$12.99,$7.99,http://www.hm.com/us/product/69128?article=69128-D
Jersey Bodysuit,61483,$17.99,$9.99,http://www.hm.com/us/product/61483?article=61483-A
Bustier,67854,$14.99,$7.99,http://www.hm.com/us/product/67854?article=67854-B
Lyocell Top,67584,$14.99,$7.99,http://www.hm.com/us/product/67584?article=67584-A
Bustier,67854,$14.99,$7.99,http://www.hm.com/us/product/67854?article=67854-C
Slub Jersey Top,43522,$17.99,$7.99,http://www.hm.com/us/product/43522?article=43522-G
Wide-cut Camisole Top,68459,$14.99,$9.99,http://www.hm.com/us/product/68459?article=68459-J
Boat-neck Top,38259,$14.99,$7.99,http://www.hm.com/us/product/38259?article=38259-B
Long-sleeved Bodysuit,60584,$14.99,$9.99,http://www.hm.com/us/product/60584?article=60584-B
Long-sleeved Bodysuit,60584,$14.99,$9.99,http://www.hm.com/us/product/60584?article=60584-D
Bustier,60791,$29.99,$14.99,http://www.hm.com/us/product/60791?article=60791-A
V-neck Satin Camisole Top,64972,$24.99,$14.99,http://www.hm.com/us/product/64972?article=64972-A
Jersey Top with Lace,68149,$19.99,$9.99,http://www.hm.com/us/product/68149?article=68149-B
Wide-cut T-shirt,71823,$14.99,$9.99,http://www.hm.com/us/product/71823?article=71823-A
Crushed-velvet Camisole Top,66753,$14.99,$9.99,http://www.hm.com/us/product/66753?article=66753-B
Lace Top,67643,$24.99,$14.99,http://www.hm.com/us/product/67643?article=67643-C
Boat-neck Top,38259,$14.99,$7.99,http://www.hm.com/us/product/38259?article=38259-H
Ribbed Sweater,59865,$12.99,$9.99,http://www.hm.com/us/product/59865?article=59865-B
Ribbed Top,65943,$17.99,$7.99,http://www.hm.com/us/product/65943?article=65943-C
Fine-knit Turtleneck Top,67189,$17.99,$9.99,http://www.hm.com/us/product/67189?article=67189-B
Jersey Top,39799,$14.99,$7.99,http://www.hm.com/us/product/39799?article=39799-A
Wide T-shirt with Chest Pocket,68936,$24.99,$12.99,http://www.hm.com/us/product/68936?article=68936-A
Ribbed Jersey Top,56300,$17.99,$7.99,http://www.hm.com/us/product/56300?article=56300-A
Uni Tee,62358,$19.99,$12.99,http://www.hm.com/us/product/62358?article=62358-A
Double-layer Camisole Top,70444,$24.99,$12.99,http://www.hm.com/us/product/70444?article=70444-E
